movieId,title,genres,title_clean,genres_text,tags_text,profile_text
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,toy story (1995),adventure animation children comedy fantasy,2009 reissue in stereoscopic 3-d 3d 55 movies every kid should see--entertainment weekly action action figure action figures adventure american animation animated animation animmation avi bd-video best of rotten tomatoes: all time boy boy next door bright buddy movie bullying buy buzz lightyear cartoon cg animation cgi cgi classic childish children classic clever clv comedy computer animation cowboy cute daring rescues dinosaur disney disney animated feature dolls dvd-video engaging exciting plot family family film fanciful fantasy favorite first cgi film friends friendship fun fun family movie funny funny lines good cartoon chindren good time great movie heroic mission humorous imdb top 250 innovative itaege jealousy john lasseter joss whedon kids kids and family kids movie light light hearted lots of heart martial arts mission national film registry neighborhood new toy nostalgic owned pixar pixar animation rainy day watchlist rated-g rescue resourcefulness rivalry rousing sci-fi soothing story the boys tim allen time travel tom hanks touching story toy toy comes to life toys toys come to life toys played tumey's to see again tumey's vhs tã©a leoni does not star in this movie unlikely friendships unny usa very good villian hurts toys voice acting walkie talkie want want to see again warm watched whimsica witty woody ya boy é˜®ä¸€é¸£,toy story (1995) adventure animation children comedy fantasy 2009 reissue in stereoscopic 3-d 3d 55 movies every kid should see--entertainment weekly action action figure action figures adventure american animation animated animation animmation avi bd-video best of rotten tomatoes: all time boy boy next door bright buddy movie bullying buy buzz lightyear cartoon cg animation cgi cgi classic childish children classic clever clv comedy computer animation cowboy cute daring rescues dinosaur disney disney animated feature dolls dvd-video engaging exciting plot family family film fanciful fantasy favorite first cgi film friends friendship fun fun family movie funny funny lines good cartoon chindren good time great movie heroic mission humorous imdb top 250 innovative itaege jealousy john lasseter joss whedon kids kids and family kids movie light light hearted lots of heart martial arts mission national film registry neighborhood new toy nostalgic owned pixar pixar animation rainy day watchlist rated-g rescue resourcefulness rivalry rousing sci-fi soothing story the boys tim allen time travel tom hanks touching story toy toy comes to life toys toys come to life toys played tumey's to see again tumey's vhs tã©a leoni does not star in this movie unlikely friendships unny usa very good villian hurts toys voice acting walkie talkie want want to see again warm watched whimsica witty woody ya boy é˜®ä¸€é¸£
2,Jumanji (1995),Adventure|Children|Fantasy,jumanji (1995),adventure children fantasy,adaptation of book adapted from:book adventure animals bad cgi based on a book based on children's book board game childhood recaptured childish children chris van allsburg clv disappearance dynamic cgi action family fantasy fiction filmed in bc for children game giant insect herds of cgi animals horrifying (but not horror genre) itaege joe johnston jungle kid flick kids kirsten dunst lebbat magic board game monkey new home not for kids rainy day watchlist recluse robin williams scary see also:zathura time time travel,jumanji (1995) adventure children fantasy adaptation of book adapted from:book adventure animals bad cgi based on a book based on children's book board game childhood recaptured childish children chris van allsburg clv disappearance dynamic cgi action family fantasy fiction filmed in bc for children game giant insect herds of cgi animals horrifying (but not horror genre) itaege joe johnston jungle kid flick kids kirsten dunst lebbat magic board game monkey new home not for kids rainy day watchlist recluse robin williams scary see also:zathura time time travel
3,Grumpier Old Men (1995),Comedy|Romance,grumpier old men (1995),comedy romance,ann margaret best friend burgess meredith clv comedinha de velhinhos engraã§ada comedinha de velhinhos engraãƒâ§ada daryl hannah duringcreditsstinger fishing funny good soundtrack grun running howard deutch jack lemmon moldy no_fa_ganes old old man old people that is actually funny sequel sequel fever sophia loren walter matthau,grumpier old men (1995) comedy romance ann margaret best friend burgess meredith clv comedinha de velhinhos engraã§ada comedinha de velhinhos engraãƒâ§ada daryl hannah duringcreditsstinger fishing funny good soundtrack grun running howard deutch jack lemmon moldy no_fa_ganes old old man old people that is actually funny sequel sequel fever sophia loren walter matthau
4,Waiting to Exhale (1995),Comedy|Drama|Romance,waiting to exhale (1995),comedy drama romance,based on novel or book characters chick flick clv divorce interracial relationship revenge single mother,waiting to exhale (1995) comedy drama romance based on novel or book characters chick flick clv divorce interracial relationship revenge single mother
5,Father of the Bride Part II (1995),Comedy,father of the bride part ii (1995),comedy,aging baby clv comedy confidence contraception daughter diane keaton family fantasy gynecologist midlife crisis parent child relationship pregnancy sequel sequel fever steve martin touching wedding,father of the bride part ii (1995) comedy aging baby clv comedy confidence contraception daughter diane keaton family fantasy gynecologist midlife crisis parent child relationship pregnancy sequel sequel fever steve martin touching wedding
6,Heat (1995),Action|Crime|Thriller,heat (1995),action crime thriller,1 7.5-filmaffinity action adultery al and robert al pacino al pacino vs robert de niro amazing cast ashley judd atmospheric authentic gunfights authenticity bank heist bank job bank robbery bechdel test:fail betrayal bibliothek bleak blu-ray btaege can't remember captivating career criminal cat and mouse chase cliched clv complex characters crime crime epic criminal mastermind cult film detective dialogue dumbed down electronic soundtrack ensemble cast es un poc de lo de sempre ex-con gang great acting gunfight guns hd mkv heist heist movie heists hollywoodization honor imdb top 250 in the nucleus individualism jon voight lame loner long los angeles male-female relationship mary kircher michael mann mine murder natalie portman need to own neo-noir netflix queue obsession one last heist one last job overrated philosophy police professionals r r:language r:violence real life realistic realistic action recommendz top pick relationships robbery robert de niro seen 2010 seen 2011 setting:la slick slow paced somber soundtrack suicide suspense synthesizer soundtrack teenage girl tense thief thieves third act problems too long top 10 ever tough guy tragic end tumey's dvds understated val kilmer violent visceral viviane vives vontatott want who cares dvds witty,heat (1995) action crime thriller 1 7.5-filmaffinity action adultery al and robert al pacino al pacino vs robert de niro amazing cast ashley judd atmospheric authentic gunfights authenticity bank heist bank job bank robbery bechdel test:fail betrayal bibliothek bleak blu-ray btaege can't remember captivating career criminal cat and mouse chase cliched clv complex characters crime crime epic criminal mastermind cult film detective dialogue dumbed down electronic soundtrack ensemble cast es un poc de lo de sempre ex-con gang great acting gunfight guns hd mkv heist heist movie heists hollywoodization honor imdb top 250 in the nucleus individualism jon voight lame loner long los angeles male-female relationship mary kircher michael mann mine murder natalie portman need to own neo-noir netflix queue obsession one last heist one last job overrated philosophy police professionals r r:language r:violence real life realistic realistic action recommendz top pick relationships robbery robert de niro seen 2010 seen 2011 setting:la slick slow paced somber soundtrack suicide suspense synthesizer soundtrack teenage girl tense thief thieves third act problems too long top 10 ever tough guy tragic end tumey's dvds understated val kilmer violent visceral viviane vives vontatott want who cares dvds witty
7,Sabrina (1995),Comedy|Romance,sabrina (1995),comedy romance,as good maybe better than original based on a play breakout chauffeur chick flick clv comedy drama finding yourself fusion great cast greg kinnear harrison ford julia ormond long island love love story millionaire nancy marchand no_fa_ganes paris relationships remadeas:sabrina(1995) remake remakeof:sabrina(1954) romance sibling relationship ugly duckling upstairs-downstairs,sabrina (1995) comedy romance as good maybe better than original based on a play breakout chauffeur chick flick clv comedy drama finding yourself fusion great cast greg kinnear harrison ford julia ormond long island love love story millionaire nancy marchand no_fa_ganes paris relationships remadeas:sabrina(1995) remake remakeof:sabrina(1954) romance sibling relationship ugly duckling upstairs-downstairs
8,Tom and Huck (1995),Adventure|Children,tom and huck (1995),adventure children,adapted from:book author:mark twain based on a book disney library system mark twain peter hewitt,tom and huck (1995) adventure children adapted from:book author:mark twain based on a book disney library system mark twain peter hewitt
9,Sudden Death (1995),Action,sudden death (1995),action,action can't remember clv explosive hostage jean-claude van damme peter hyams terrorist vice president,sudden death (1995) action action can't remember clv explosive hostage jean-claude van damme peter hyams terrorist vice president
10,GoldenEye (1995),Action|Adventure|Thriller,goldeneye (1995),action adventure thriller,007 007 (series) 007 movies are bad. action adventure assassin bd-video best of the brosnon bonds bob*ola bond boys with toys btaege bungee jump stunt caribbean classic clv computer games computer hacker computer virus cossack cuba dark electromagnetic pulse emp espionage falsely accused famke janssen flash freeze death franchise funny gadgets good dialogue i wanted the bad guy to win.  sean bean out-bonds bond. it's a good movie but the end of 007 is always the same james bond kgb killer as protagonist latin america memorable characters memorable lines mtskaf murder one-liners pierce brosnan pseudo rated puerto rico red army satellite sean bean dies secret base secret identity secret intelligence service secret service sequel sexuality special car spies st. petersburg russia stealth helicopter tank chase scene thriller time bomb tumey's dvds violence,goldeneye (1995) action adventure thriller 007 007 (series) 007 movies are bad. action adventure assassin bd-video best of the brosnon bonds bob*ola bond boys with toys btaege bungee jump stunt caribbean classic clv computer games computer hacker computer virus cossack cuba dark electromagnetic pulse emp espionage falsely accused famke janssen flash freeze death franchise funny gadgets good dialogue i wanted the bad guy to win. sean bean out-bonds bond. it's a good movie but the end of 007 is always the same james bond kgb killer as protagonist latin america memorable characters memorable lines mtskaf murder one-liners pierce brosnan pseudo rated puerto rico red army satellite sean bean dies secret base secret identity secret intelligence service secret service sequel sexuality special car spies st. petersburg russia stealth helicopter tank chase scene thriller time bomb tumey's dvds violence
